2022-07-02 at 21:12:40 | INFO | info message
2022-07-02 22:17:47.479 | INFO     | logger:info:35 - wrapper use time 2.5272369384765625e-05 s
2022-07-02 22:17:55.981 | WARNING  | logger:warning:41 - insert data fail and source data = insert into system_info(TIME,mem_free,mem_total,mem_percent,mem_used,cpu,disk1,disk2,disk3,disk4,disk5) value (%s,%s,%s,%s,%s,%s,%s,%s,%s,%s,%s)
2022-07-02 22:18:54.860 | INFO     | logger:info:35 - wrapper use time 1.0049018859863281 s
2022-07-02 22:18:54.861 | INFO     | logger:info:35 - wrapper use time 7.128715515136719e-05 s
2022-07-02 22:18:54.862 | INFO     | logger:info:35 - wrapper use time 2.4080276489257812e-05 s
2022-07-02 22:19:11.400 | WARNING  | logger:warning:41 - insert data fail and source data = insert into system_info(TIME,mem_free,mem_total,mem_percent,mem_used,cpu,disk1,disk2,disk3,disk4,disk5) value (%s,%s,%s,%s,%s,%s,%s,%s,%s,%s,%s)
2022-07-02 22:19:47.995 | INFO     | logger:info:35 - wrapper use time 1.0050780773162842 s
2022-07-02 22:19:47.997 | INFO     | logger:info:35 - wrapper use time 7.390975952148438e-05 s
2022-07-02 22:19:47.998 | INFO     | logger:info:35 - wrapper use time 3.790855407714844e-05 s
2022-07-02 22:19:57.963 | WARNING  | logger:warning:41 - insert data fail and source data = insert into system_info(TIME,mem_free,mem_total,mem_percent,mem_used,cpu,disk1,disk2,disk3,disk4,disk5) value (%s,%s,%s,%s,%s,%s,%s,%s,%s,%s,%s), 'Cursor' object has no attribute 'commit'
2022-07-02 22:34:59.361 | INFO     | logger:info:35 - wrapper use time 1.0012071132659912 s
2022-07-02 22:34:59.363 | INFO     | logger:info:35 - wrapper use time 9.107589721679688e-05 s
2022-07-02 22:34:59.363 | INFO     | logger:info:35 - wrapper use time 3.1948089599609375e-05 s
2022-07-02 22:57:07.682 | INFO     | logger:info:35 - wrapper use time 1.0041131973266602 s
2022-07-02 22:57:07.684 | INFO     | logger:info:35 - wrapper use time 7.796287536621094e-05 s
2022-07-02 22:57:07.684 | INFO     | logger:info:35 - wrapper use time 2.5033950805664062e-05 s
2022-07-02 22:57:32.823 | WARNING  | logger:warning:41 - insert data fail and source data = insert into system_info(TIME,mem_free,mem_total,mem_percent,mem_used,cpu,disk1,disk2,disk3,disk4,disk5) value (%s,%s,%s,%s,%s,%s,%s,%s,%s,%s,%s), 'Cursor' object has no attribute 'commit'
2022-07-02 23:00:31.851 | INFO     | logger:info:35 - wrapper use time 1.0014729499816895 s
2022-07-02 23:00:31.853 | INFO     | logger:info:35 - wrapper use time 7.605552673339844e-05 s
2022-07-02 23:00:31.853 | INFO     | logger:info:35 - wrapper use time 2.8848648071289062e-05 s
2022-07-04 10:22:01.220 | INFO     | logger:info:35 - wrapper use time 1.0043210983276367 s
2022-07-04 10:22:01.220 | INFO     | logger:info:35 - wrapper use time 4.1961669921875e-05 s
2022-07-04 10:22:01.221 | INFO     | logger:info:35 - wrapper use time 6.9141387939453125e-06 s
